Comp	Customer N	Baseline	Contract No	BP Name	BP Org Name1	BP Org Name2	Buyer Name1	Buyer Name2	EMail Address	Project	BE Name	Unit	Filename	Birth Date	Building Name	Phase	Unit No	Total Amt Due	Total Amt Due Immediately	Total Due on
3010	1800023015	08/25/2015	0001000000783	Melrose Gaac			Melrose Gaac		COM@SM.COM	JAZZ	JAZZ RESIDENCES	B010611	SOA_20150825_114012_0001000000783.PDF	00000000	Tower 1		0611			
3010	1800022726	08/25/2015	0001000001208	JASMINE REYES			JASMINE REYES		jasmine@yahoo.com	PRIN	PRINCETON RESIDENCES	B012917	SOA_20150825_114013_0001000001208.PDF	00000000	BUILDING 1		2917			
3010	1800012310	08/25/2015	0001000009063	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114012_0001000009063.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009151	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114013_0001000009151.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009153	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114013_0001000009153.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009194	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114014_0001000009194.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009213	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114012_0001000009213.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009217	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114013_0001000009217.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009220	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114013_0001000009220.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009224	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114014_0001000009224.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009226	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114014_0001000009226.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009239	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114014_0001000009239.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009243	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114014_0001000009243.PDF	19600111	Tower 1		0845			
3010	1800022792	08/25/2015	0001000009322		Realty Plus Incorporation		Realty Plus Incorporation		realtyinc@yahoo.com	JAZZ	JAZZ RESIDENCES	B010606	SOA_20150825_114015_0001000009322.PDF	00000000	Tower 1		0606			
3010	1800012310	08/25/2015	0001000009344	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114015_0001000009344.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009346	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114015_0001000009346.PDF	19600111	Tower 1		0845			
3010	1800012310	08/25/2015	0001000009371	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150825_114015_0001000009371.PDF	19600111	Tower 1		0845			
3010	1800000770	08/25/2015	0001000010696	US Buyer			US Buyer		us@buyer.com	GRTN	GRASS RESIDENCES	T01705	SOA_20150825_114016_0001000010696.PDF	19600507	Tower 1		705			
3010	1800000770	08/25/2015	0001000010800	US Buyer			US Buyer		us@buyer.com	GRTN	GRASS RESIDENCES	T01705	SOA_20150825_114015_0001000010800.PDF	19600507	Tower 1		705			
3010	1800012310	03/27/2015	0001000010809	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150327_173351_0001000010809.PDF	19600111	Tower 1		0845			
3010	1800012310	04/27/2015	0001000010809	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150427_173514_0001000010809.PDF	19600111	Tower 1		0845			
3010	1800012310	05/27/2015	0001000010809	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150527_173545_0001000010809.PDF	19600111	Tower 1		0845			
3010	1800012310	06/27/2015	0001000010809	JUAN DELA CRUZ			JUAN DELA CRUZ		home_addressx@yahoo.com	JAZZ	JAZZ RESIDENCES	B010845	SOA_20150627_173607_0001000010809.PDF	19600111	Tower 1		0845			
